T/K,lnhc,IL,Normalized SMILES,RANDOM,hc
351.393,5.709433146,109,CCC[n+]1ccccc1.[Br-],9250,301.7
354.574,5.711750644,109,CCC[n+]1ccccc1.[Br-],9251,302.3999999
357.586,5.715052067,109,CCC[n+]1ccccc1.[Br-],9252,303.4
360.598,5.718671087,109,CCC[n+]1ccccc1.[Br-],9253,304.5
363.6,5.722931293,109,CCC[n+]1ccccc1.[Br-],9254,305.7999998
366.595,5.726521962,109,CCC[n+]1ccccc1.[Br-],9255,306.9000001
369.613,5.729450221,109,CCC[n+]1ccccc1.[Br-],9256,307.7999999
372.656,5.73204594,109,CCC[n+]1ccccc1.[Br-],9257,308.6
376.372,5.737861788,109,CCC[n+]1ccccc1.[Br-],9258,310.3999999
379.412,5.740435792,109,CCC[n+]1ccccc1.[Br-],9259,311.1999999
382.441,5.744604469,109,CCC[n+]1ccccc1.[Br-],9260,312.4999999
385.47,5.749074464,109,CCC[n+]1ccccc1.[Br-],9261,313.9
388.488,5.752890049,109,CCC[n+]1ccccc1.[Br-],9262,315.1000001
391.504,5.75669113,109,CCC[n+]1ccccc1.[Br-],9263,316.2999999
394.6,5.760162808,109,CCC[n+]1ccccc1.[Br-],9264,317.4
397.71,5.763622475,109,CCC[n+]1ccccc1.[Br-],9265,318.5
283.15,6.299316826,63,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9266,544.1999998
288.15,6.305362462,63,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9267,547.5000002
293.15,6.311190196,63,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9268,550.6999999
298.15,6.317164687,63,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9269,554.0000001
303.15,6.323103695,63,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9270,557.3000002
308.15,6.329007639,63,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9271,560.6000002
313.15,6.334876931,63,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9272,563.9000001
318.15,6.340711975,63,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9273,567.1999999
323.15,6.346513169,63,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9274,570.4999998
328.15,6.352280904,63,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9275,573.8000003
333.15,6.358188827,63,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9276,577.2000001
338.15,6.363889801,63,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9277,580.4999999
343.15,6.369729735,63,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9278,583.8999998
348.15,6.375365477,63,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9279,587.1999998
353.15,6.381138969,63,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9280,590.5999998
358.15,6.386879319,63,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9281,593.9999998
283.15,5.715052067,6,CCn1cc[n+](C)c1.F[B-](F)(F)F,9282,303.4
288.15,5.719983854,6,CCn1cc[n+](C)c1.F[B-](F)(F)F,9283,304.9
