IL SMILES,x_CO2,T/K,P/bar,Normalized SMILES,RANDOM,IL,ln(x_CO2)
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.0826,298.16,2.52,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,26,1,-2.493745598
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.0522,333.05,2.46,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,27,1,-2.952672784
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.0799,298.16,1.99,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,28,1,-2.526979426
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.0371,333.05,1.98,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,29,1,-3.294138309
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.0341,298.16,1.03,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,30,1,-3.378457895
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.0212,333.05,0.983,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,31,1,-3.853754097
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.0158,298.16,0.485,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,32,1,-4.147745339
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.0103,333.05,0.476,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,33,1,-4.575611384
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.00223,333.05,0.239,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,34,1,-6.105753694
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.0152,298.16,0.221,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,35,1,-4.186459851
