,Normalized SMILES,T/K,P,Mole,Index,P/bar,ln(x_CO2)
6382,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,334.35,1280,0.3019,18,12.8,0.3019
6383,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,324.15,960,0.3019,18,9.6,0.3019
6384,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,314.05,820,0.3019,18,8.2,0.3019
6385,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,303.85,720,0.3019,18,7.2,0.3019
6386,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,301.15,680,0.3019,18,6.8,0.3019
6387,CCCCCCC[n+]1ccn(C)c1.N#CC(=C=[N-])C#N,308.15,1993,0.3018,6,19.93,0.3018
6388,CCCCCCC[n+]1ccn(C)c1.N#CC(=C=[N-])C#N,308.15,1993,0.3018,6,19.93,0.3018
6389,CCCC[n+]1ccn(C)c1.COCCOCCOS(=O)(=O)[O-],363.15,5510,0.3017,87,55.1,0.3017
6390,CCCC[n+]1ccn(C)c1.COCCOCCOS(=O)(=O)[O-],353.15,4870,0.3017,87,48.7,0.3017
6391,CCCC[n+]1ccn(C)c1.COCCOCCOS(=O)(=O)[O-],343.15,4320,0.3017,87,43.2,0.3017
6392,CCCC[n+]1ccn(C)c1.COCCOCCOS(=O)(=O)[O-],333.15,3780,0.3017,87,37.8,0.3017
6393,CCCC[n+]1ccn(C)c1.COCCOCCOS(=O)(=O)[O-],323.15,3130,0.3017,87,31.3,0.3017
6394,CCCC[n+]1ccn(C)c1.COCCOCCOS(=O)(=O)[O-],313.15,2480,0.3017,87,24.8,0.3017
6395,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.2,1497,0.3017,44,14.97,0.3017
6396,COCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,333.15,2334,0.301616465,139,23.34,0.301616465
6397,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,338,2996,0.3015,11,29.96,0.3015
6398,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,338.15,2520,0.301,14,25.2,0.301
6399,C[NH+]1C=CN(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.16,1100,0.301,25,11,0.301
6400,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,298.1,1999.6,0.301,66,19.996,0.301
6401,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,373.15,6370,0.301,60,63.7,0.301
6402,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,363.15,5820,0.301,60,58.2,0.301
