Tg/K,IL,Normalized SMILES
239,11,C(F)(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)(F)F.c1c(n(Cn2c([n+](CCCC)cc2)C)nc1C)C
239,11,FC(F)(F)S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O.n1(c(C)cc(n1)C)Cn1cc[n+](CCCC)c1C
239,11,FC(F)(F)S([N-]S(=O)(=O)C(F)(F)F)(=O)=O.c1(C)cc(C)nn1Cn1cc[n+](CCCC)c1C
239,11,C(F)(F)(F)S(=O)([N-]S(=O)(C(F)(F)F)=O)=O.n1(Cn2c([n+](CCCC)cc2)C)nc(cc1C)C
239,11,C(n1cc[n+](c1C)CCCC)n1c(cc(n1)C)C.FC(F)(F)S([N-]S(=O)(C(F)(F)F)=O)(=O)=O
239,11,C(C)CC[n+]1ccn(Cn2nc(C)cc2C)c1C.O=S(C(F)(F)F)([N-]S(=O)(C(F)(F)F)=O)=O
239,11,FC(F)(S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O)F.n1(nc(C)cc1C)Cn1cc[n+](CCCC)c1C
235,12,C(CCCC[n+]1c(n(cc1)Cn1nc(C)cc1C)C)C.C(F)(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)(F)F
235,12,C(CCCC)C[n+]1ccn(c1C)Cn1nc(cc1C)C.S(=O)([N-]S(=O)(=O)C(F)(F)F)(C(F)(F)F)=O
235,12,O=S(=O)(C(F)(F)F)[N-]S(C(F)(F)F)(=O)=O.n1(Cn2nc(C)cc2C)c([n+](CCCCCC)cc1)C
235,12,FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F.c1(C)cc(C)n(n1)Cn1c([n+](cc1)CCCCCC)C
235,12,C(C)CCCC[n+]1ccn(Cn2nc(cc2C)C)c1C.O=S([N-]S(C(F)(F)F)(=O)=O)(C(F)(F)F)=O
235,12,S(=O)(=O)(C(F)(F)F)[N-]S(=O)(=O)C(F)(F)F.c1c[n+](c(C)n1Cn1nc(cc1C)C)CCCCCC
235,12,CCCCCC[n+]1c(n(Cn2nc(C)cc2C)cc1)C.O=S(C(F)(F)F)([N-]S(=O)(C(F)(F)F)=O)=O
235,12,C(n1c(C)cc(C)n1)n1cc[n+](CCCCCC)c1C.O=S(=O)(C(F)(F)F)[N-]S(=O)(=O)C(F)(F)F
235,12,Cc1cc(nn1Cn1c([n+](CCCCCC)cc1)C)C.S([N-]S(=O)(C(F)(F)F)=O)(=O)(=O)C(F)(F)F
235,12,[N-](S(C(F)(F)F)(=O)=O)S(=O)(C(F)(F)F)=O.n1c(cc(n1Cn1cc[n+](CCCCCC)c1C)C)C
260,13,F[P-](F)(F)(F)(F)F.c1n(c([n+](c1)CCCC)C)Cn1c(C)cc(C)n1
260,13,[P-](F)(F)(F)(F)(F)F.c1(C)nn(c(c1)C)Cn1cc[n+](CCCC)c1C
260,13,F[P-](F)(F)(F)(F)F.c1(cc(C)n(Cn2cc[n+](CCCC)c2C)n1)C
260,13,F[P-](F)(F)(F)(F)F.n1(c(C)[n+](cc1)CCCC)Cn1nc(cc1C)C
260,13,Cc1n(Cn2c([n+](cc2)CCCC)C)nc(C)c1.[P-](F)(F)(F)(F)(F)F
260,13,F[P-](F)(F)(F)(F)F.n1(cc[n+](CCCC)c1C)Cn1nc(cc1C)C
260,13,C(n1c(cc(C)n1)C)n1cc[n+](c1C)CCCC.F[P-](F)(F)(F)(F)F
260,13,F[P-](F)(F)(F)(F)F.n1(Cn2nc(cc2C)C)cc[n+](CCCC)c1C
260,13,C(CCC)[n+]1ccn(Cn2nc(cc2C)C)c1C.F[P-](F)(F)(F)(F)F
260,13,F[P-](F)(F)(F)(F)F.c1c(C)n(Cn2c([n+](CCCC)cc2)C)nc1C
248,14,C(C)CCCC[n+]1ccn(c1C)Cn1c(cc(n1)C)C.F[P-](F)(F)(F)(F)F
248,14,Cc1n(cc[n+]1CCCCCC)Cn1c(C)cc(n1)C.[P-](F)(F)(F)(F)(F)F
248,14,Cc1cc(C)n(n1)Cn1cc[n+](c1C)CCCCCC.F[P-](F)(F)(F)(F)F
248,14,C(CCCC)C[n+]1c(n(Cn2nc(C)cc2C)cc1)C.F[P-](F)(F)(F)(F)F
248,14,F[P-](F)(F)(F)(F)F.c1(C)cc(nn1Cn1c(C)[n+](cc1)CCCCCC)C
248,14,C(CC)CCC[n+]1c(C)n(cc1)Cn1nc(C)cc1C.F[P-](F)(F)(F)(F)F
248,14,F[P-](F)(F)(F)(F)F.[n+]1(c(C)n(cc1)Cn1c(C)cc(n1)C)CCCCCC
248,14,[P-](F)(F)(F)(F)(F)F.n1(c(cc(C)n1)C)Cn1c([n+](CCCCCC)cc1)C
248,14,F[P-](F)(F)(F)(F)F.n1n(Cn2c(C)[n+](cc2)CCCCCC)c(C)cc1C
248,14,F[P-](F)(F)(F)(F)F.n1(nc(cc1C)C)Cn1c([n+](cc1)CCCCCC)C
187,15,C(C)C[N+]1(C)CCCC1.FC(F)(F)S(=O)([N-]S(=O)(=O)C(F)(F)F)=O
187,15,C1[N+](CCC)(C)CCC1.FC(F)(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)F
187,15,C(C[N+]1(CCCC1)C)C.C(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)(F)(F)F
187,15,C1CC[N+](C1)(CCC)C.FC(F)(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)F
187,15,C1[N+](CCC1)(CCC)C.S([N-]S(C(F)(F)F)(=O)=O)(=O)(C(F)(F)F)=O
187,15,C1C[N+](CC1)(C)CCC.O=S([N-]S(C(F)(F)F)(=O)=O)(C(F)(F)F)=O
187,15,C(C[N+]1(CCCC1)C)C.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O
187,15,C1C[N+](CCC)(C)CC1.FC(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)(F)F
187,15,C(C[N+]1(C)CCCC1)C.C(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)(F)(F)F
187,15,C1CC[N+](C1)(CCC)C.S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)(=O)=O
192,16,C(CCCC)CCC[N+]1(CCCC1)C.FC(F)(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)F
192,16,C1CC[N+](CCCCCCCC)(C)C1.FC(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)(F)F
192,16,C1C[N+](C)(CC1)CCCCCCCC.FC(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)(F)F
192,16,C(F)(F)(S(=O)([N-]S(C(F)(F)F)(=O)=O)=O)F.C1CCC[N+]1(C)CCCCCCCC
192,16,C(CC[N+]1(C)CCCC1)CCCCC.S(=O)(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O
192,16,C1C[N+](C)(CCCCCCCC)CC1.FC(F)(F)S(=O)([N-]S(=O)(=O)C(F)(F)F)=O
192,16,CCCCCCCC[N+]1(CCCC1)C.FC(F)(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)F
192,16,C(CCCCCC[N+]1(CCCC1)C)C.O=S([N-]S(=O)(=O)C(F)(F)F)(C(F)(F)F)=O
192,16,C(CCCC[N+]1(C)CCCC1)CCC.O=S(C(F)(F)F)(=O)[N-]S(C(F)(F)F)(=O)=O
192,16,C(CCCCCC)C[N+]1(C)CCCC1.FC(F)(F)S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O
200,17,C(C)CC[N+]1(C)CCCCC1.FC(F)(F)S([N-]S(=O)(C(F)(F)F)=O)(=O)=O
200,17,C(F)(S([N-]S(=O)(C(F)(F)F)=O)(=O)=O)(F)F.C1C[N+](CCCC)(CCC1)C
200,17,C(F)(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)(F)F.C[N+]1(CCCCC1)CCCC
200,17,C1[N+](CCCC1)(CCCC)C.FC(F)(S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O)F
200,17,C[N+]1(CCCC)CCCCC1.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F
200,17,CCCC[N+]1(C)CCCCC1.FC(S([N-]S(=O)(C(F)(F)F)=O)(=O)=O)(F)F
200,17,C(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)(F)(F)F.C([N+]1(C)CCCCC1)CCC
200,17,C1CCC[N+](CCCC)(C1)C.FC(F)(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)F
200,17,CCCC[N+]1(C)CCCCC1.O=S(C(F)(F)F)([N-]S(=O)(C(F)(F)F)=O)=O
200,17,C1C[N+](CCC1)(C)CCCC.FC(F)(F)S([N-]S(C(F)(F)F)(=O)=O)(=O)=O
197,18,C(CCCC[N+]1(C)CCCCC1)CCC.FC(F)(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)F
197,18,C(CCC)CCCC[N+]1(CCCCC1)C.O=S(=O)(C(F)(F)F)[N-]S(C(F)(F)F)(=O)=O
197,18,C(CCC)CCCC[N+]1(CCCCC1)C.FC(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)(F)F
197,18,C(CCCCC[N+]1(CCCCC1)C)CC.FC(S([N-]S(=O)(C(F)(F)F)=O)(=O)=O)(F)F
197,18,C(CCCCC[N+]1(CCCCC1)C)CC.O=S(=O)([N-]S(=O)(C(F)(F)F)=O)C(F)(F)F
197,18,C(CCCC)CCC[N+]1(C)CCCCC1.O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O
197,18,C(CCCC[N+]1(CCCCC1)C)CCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
197,18,C(CCCCCC)C[N+]1(C)CCCCC1.O=S([N-]S(=O)(C(F)(F)F)=O)(=O)C(F)(F)F
197,18,C(CCC)CCCC[N+]1(CCCCC1)C.FC(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)(F)F
197,18,CCCCCCCC[N+]1(CCCCC1)C.FC(F)(F)S([N-]S(C(F)(F)F)(=O)=O)(=O)=O
203,19,C([N-]C#N)#N.C1CCCC[N+]1(CCCCCCCC)C
203,19,C[N+]1(CCCCC1)CCCCCCCC.N#C[N-]C#N
203,19,C1CCCC[N+]1(CCCCCCCC)C.[N-](C#N)C#N
203,19,C(#N)[N-]C#N.C1C[N+](C)(CCCCCCCC)CCC1
203,19,C(C[N+]1(C)CCCCC1)CCCCCC.N#C[N-]C#N
203,19,C(CC)CCCCC[N+]1(CCCCC1)C.N#C[N-]C#N
203,19,C(CCCC)CCC[N+]1(CCCCC1)C.[N-](C#N)C#N
203,19,C(CCC)CCCC[N+]1(C)CCCCC1.N#C[N-]C#N
203,19,C(CCCC)CCC[N+]1(C)CCCCC1.N#C[N-]C#N
203,19,C(C[N+]1(C)CCCCC1)CCCCCC.C([N-]C#N)#N
234,20,F[P-](F)(F)(F)(F)F.c1c[n+](cn1C)Cc1nnn(c1)CCCC
234,20,F[P-](F)(F)(F)(F)F.c1c(nnn1CCCC)C[n+]1cn(cc1)C
234,20,F[P-](F)(F)(F)(F)F.c1(C[n+]2cn(C)cc2)nnn(c1)CCCC
234,20,F[P-](F)(F)(F)(F)F.c1n(C)c[n+](Cc2nnn(c2)CCCC)c1
234,20,C(C)CCn1cc(nn1)C[n+]1cn(C)cc1.F[P-](F)(F)(F)(F)F
