MP_K,Normalized SMILES,RANDOM,IL,Normalized SMILES1
485.0,CCCCCCCCC[N+](C)(C)C.[Br-],1276,1276,CCCCCCCCC[N+](C)(C)C.[Br-]
358.0,C[N+](C)(C)CCOCCO.[Br-],1277,1277,C[N+](C)(C)CCOCCO.[Br-]
421.0,CCCOC(CC)C[N+](C)(C)C.[Br-],1278,1278,CCCOC(CC)C[N+](C)(C)C.[Br-]
372.0,CCCCC(C[N+](C)(C)C)OC.[Br-],1279,1279,CCCCC(C[N+](C)(C)C)OC.[Br-]
421.0,CCCC(C[N+](C)(C)C)OCC.[Br-],1280,1280,CCCC(C[N+](C)(C)C)OCC.[Br-]
383.0,CCCCCCC[N+](CC)(CC)CC.[Br-],1281,1281,CCCCCCC[N+](CC)(CC)CC.[Br-]
400.0,CC[N+](C)(CCC(C)C)CCC(C)C.[Br-],1282,1282,CC[N+](C)(CCC(C)C)CCC(C)C.[Br-]
394.0,CCCC[N+](C)(CCCC)CCCC.[Br-],1283,1283,CCCC[N+](C)(CCCC)CCCC.[Br-]
371.0,CCOCC[N+](CC)(CC)CC.[Br-],1284,1284,CCOCC[N+](CC)(CC)CC.[Br-]
472.0,C#CC[N+](CC)(CC)CC.[Br-],1285,1285,C#CC[N+](CC)(CC)CC.[Br-]
422.0,CCCCC(C[N+](C)(C)C)OCC.[Br-],1286,1286,CCCCC(C[N+](C)(C)C)OCC.[Br-]
402.0,CCCCOC(CC)C[N+](C)(C)C.[Br-],1287,1287,CCCCOC(CC)C[N+](C)(C)C.[Br-]
384.0,CCCCOC(CCC)C[N+](C)(C)C.[Br-],1288,1288,CCCCOC(CCC)C[N+](C)(C)C.[Br-]
363.0,C=CC[N+](C)(CC=C)CC=C.[Br-],1289,1289,C=CC[N+](C)(CC=C)CC=C.[Br-]
499.0,CCCCCCCCC(CC)C[N+](C)(C)C.[Br-],1290,1290,CCCCCCCCC(CC)C[N+](C)(C)C.[Br-]
379.0,CCCCCOC(CCC)C[N+](C)(C)C.[Br-],1291,1291,CCCCCOC(CCC)C[N+](C)(C)C.[Br-]
398.0,CC[N+](C)(CC)CC(C)(O)CC(C)(C)C.[Br-],1292,1292,CC[N+](C)(CC)CC(C)(O)CC(C)(C)C.[Br-]
424.0,C=C(OCC)[N+](C)(C)C.[Br-],1293,1293,C=C(OCC)[N+](C)(C)C.[Br-]
546.0,CC(CC1CCCCCC1)[N+](C)(C)C.[Br-],1294,1294,CC(CC1CCCCCC1)[N+](C)(C)C.[Br-]
368.0,C=COCC[N+](CC)(CC)CC.[Br-],1295,1295,C=COCC[N+](CC)(CC)CC.[Br-]
522.0,CC(CC1CCCCCCC1)[N+](C)(C)C.[Br-],1296,1296,CC(CC1CCCCCCC1)[N+](C)(C)C.[Br-]
483.0,CC(CC(C)(C)C)C[N+](C)(C)CC(C)CC(C)(C)C.[Br-],1297,1297,CC(CC(C)(C)C)C[N+](C)(C)CC(C)CC(C)(C)C.[Br-]
313.0,CCCCCCCCCCCC[N+](C)(C)CCCC.[Br-],1298,1298,CCCCCCCCCCCC[N+](C)(C)CCCC.[Br-]
376.0,C#CC[N+](CC=C)(CC=C)CC=C.[Br-],1299,1299,C#CC[N+](CC=C)(CC=C)CC=C.[Br-]
352.0,C=CC(O)C[N+](C)(C)CCCC.[Br-],1300,1300,C=CC(O)C[N+](C)(C)CCCC.[Br-]
362.0,C=CC[N+](C)(C)Cc1ccccc1.[Br-],1301,1301,C=CC[N+](C)(C)Cc1ccccc1.[Br-]
362.0,C#CC[N+](CC#C)(CC=C)CCCC.[Br-],1302,1302,C#CC[N+](CC#C)(CC=C)CCCC.[Br-]
474.0,Cc1ccccc1C[N+](C)(C)C.[Br-],1303,1303,Cc1ccccc1C[N+](C)(C)C.[Br-]
397.0,C=CC[N+](C)(C)c1ccccc1.[Br-],1304,1304,C=CC[N+](C)(C)c1ccccc1.[Br-]
374.0,CCCC(=O)OCC[N+](C)(C)C.[Br-],1305,1305,CCCC(=O)OCC[N+](C)(C)C.[Br-]
453.0,C[N+](C)(C)CCCCc1ccccc1.[Br-],1306,1306,C[N+](C)(C)CCCCc1ccccc1.[Br-]
436.0,C[N+](C)(C)CCCCCc1ccccc1.[Br-],1307,1307,C[N+](C)(C)CCCCCc1ccccc1.[Br-]
413.0,CCC[N+](C)(C)Cc1ccccc1.[Br-],1308,1308,CCC[N+](C)(C)Cc1ccccc1.[Br-]
419.0,COc1ccc(C[N+](C)(C)C)cc1.[Br-],1309,1309,COc1ccc(C[N+](C)(C)C)cc1.[Br-]
433.0,CCCCCCCCCCCCCCCCCC[N+](CC)(CC)CC.[Br-],1310,1310,CCCCCCCCCCCCCCCCCC[N+](CC)(CC)CC.[Br-]
324.0,CCCCCCCCCCCCCCCC[N+](C)(CCCC)CCCC.[Br-],1311,1311,CCCCCCCCCCCCCCCC[N+](C)(CCCC)CCCC.[Br-]
356.0,C[N+](C)(CCO)Cc1ccccc1.[Br-],1312,1312,C[N+](C)(CCO)Cc1ccccc1.[Br-]
428.0,CC[N+](C)(CC)CC(O)c1ccccc1.[Br-],1313,1313,CC[N+](C)(CC)CC(O)c1ccccc1.[Br-]
426.0,CCCCCCCCCC[N+](C)(C)CC(=O)O.[Br-],1314,1314,CCCCCCCCCC[N+](C)(C)CC(=O)O.[Br-]
411.0,C#CC[N+](CC=C)(CC=C)c1ccccc1.[Br-],1315,1315,C#CC[N+](CC=C)(CC=C)c1ccccc1.[Br-]
461.0,CCC[N+](CCC)(CCC)Cc1ccccc1.[Br-],1316,1316,CCC[N+](CCC)(CCC)Cc1ccccc1.[Br-]
426.0,CC[N+](C)(CC)C(CO)c1ccccc1.[Br-],1317,1317,CC[N+](C)(CC)C(CO)c1ccccc1.[Br-]
414.0,CCCCCCCCCCCCCCCC[N+](C)(C)C1CCCCC1.[Br-],1318,1318,CCCCCCCCCCCCCCCC[N+](C)(C)C1CCCCC1.[Br-]
361.0,Cc1ccccc1C[N+](C)(C)c1ccccc1.[Br-],1319,1319,Cc1ccccc1C[N+](C)(C)c1ccccc1.[Br-]
420.0,CC[N+](CC)(Cc1ccccc1)Cc1ccccc1.[Br-],1320,1320,CC[N+](CC)(Cc1ccccc1)Cc1ccccc1.[Br-]
432.0,CCc1ccc([N+](C)(C)Cc2ccccc2)cc1.[Br-],1321,1321,CCc1ccc([N+](C)(C)Cc2ccccc2)cc1.[Br-]
338.0,CCCCCCCCCCCC[N+](C)(C)CCOC(C)=O.[Br-],1322,1322,CCCCCCCCCCCC[N+](C)(C)CCOC(C)=O.[Br-]
378.0,CCC=Cc1ccc([N+](C)(C)Cc2ccccc2)cc1.[Br-],1323,1323,CCC=Cc1ccc([N+](C)(C)Cc2ccccc2)cc1.[Br-]
455.0,CCCCCC[N+](C)(C)c1ccccc1OC.[Br-],1324,1324,CCCCCC[N+](C)(C)c1ccccc1OC.[Br-]
459.0,C[N+](C)(CC(=O)c1ccccc1)CC1CCCCC1.[Br-],1325,1325,C[N+](C)(CC(=O)c1ccccc1)CC1CCCCC1.[Br-]
421.0,C=CC[N+](C)(Cc1ccccc1)c1ccc(OC)cc1.[Br-],1326,1326,C=CC[N+](C)(Cc1ccccc1)c1ccc(OC)cc1.[Br-]
410.0,C[N+](C)(C)C(OC(=O)c1ccccc1)c1ccccc1.[Br-],1327,1327,C[N+](C)(C)C(OC(=O)c1ccccc1)c1ccccc1.[Br-]
383.0,CCCCCCCCCC[N+](C)(C)CCCCCCCCCCC(=O)O.[Br-],1328,1328,CCCCCCCCCC[N+](C)(C)CCCCCCCCCCC(=O)O.[Br-]
398.0,C[N+](C)(CCCc1ccccc1)CC(=O)c1ccccc1.[Br-],1329,1329,C[N+](C)(CCCc1ccccc1)CC(=O)c1ccccc1.[Br-]
328.0,CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCC.[Br-],1330,1330,CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCC.[Br-]
346.0,CCCCCCCCCCCCCCCC[N+](C)(C)CCOC(C)=O.[Br-],1331,1331,CCCCCCCCCCCCCCCC[N+](C)(C)CCOC(C)=O.[Br-]
363.0,CCCCCCCc1ccc([N+](C)(C)Cc2ccccc2)cc1.[Br-],1332,1332,CCCCCCCc1ccc([N+](C)(C)Cc2ccccc2)cc1.[Br-]
361.0,CCCCCCCCc1ccc([N+](C)(C)Cc2ccccc2)cc1.[Br-],1333,1333,CCCCCCCCc1ccc([N+](C)(C)Cc2ccccc2)cc1.[Br-]
322.0,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],1334,1334,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-]
424.0,COc1cccc(C[N+](C)(C)CC(=O)c2ccccc2)c1.[Br-],1335,1335,COc1cccc(C[N+](C)(C)CC(=O)c2ccccc2)c1.[Br-]
344.0,CCCCCCCCCCCCCCCC[N+](CC)(CC)CCOC(C)=O.[Br-],1336,1336,CCCCCCCCCCCCCCCC[N+](CC)(CC)CCOC(C)=O.[Br-]
340.0,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC(=O)OC.[Br-],1337,1337,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC(=O)OC.[Br-]
333.0,CCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],1338,1338,CCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-]
351.0,CC[N+](CC)(CCCOc1ccccc1)CCCOc1ccccc1.[Br-],1339,1339,CC[N+](CC)(CCCOc1ccccc1)CCCOc1ccccc1.[Br-]
333.0,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCC(=O)OC.[Br-],1340,1340,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCC(=O)OC.[Br-]
360.0,CCCCCCCCCCCc1ccc([N+](C)(C)Cc2ccccc2)cc1.[Br-],1341,1341,CCCCCCCCCCCc1ccc([N+](C)(C)Cc2ccccc2)cc1.[Br-]
326.0,CCCCCCCCCCCCCCCC[N+](CCCC)(CCCC)CCOC(C)=O.[Br-],1342,1342,CCCCCCCCCCCCCCCC[N+](CCCC)(CCCC)CCOC(C)=O.[Br-]
312.0,CCCCCCCCCCCCOc1ccccc1[N+](C)(C)CCCCCCCCCC.[Br-],1343,1343,CCCCCCCCCCCCOc1ccccc1[N+](C)(C)CCCCCCCCCC.[Br-]
317.0,CCCCCCCCCCCCOc1ccccc1[N+](C)(C)CCCCCCCCCCCC.[Br-],1344,1344,CCCCCCCCCCCCOc1ccccc1[N+](C)(C)CCCCCCCCCCCC.[Br-]
320.0,CCCCCCCCCCCCCC[N+](C)(C)c1ccccc1OCCCCCCCCCCCC.[Br-],1345,1345,CCCCCCCCCCCCCC[N+](C)(C)c1ccccc1OCCCCCCCCCCCC.[Br-]
507.0,C[N+](C)(C)CCc1ccccc1.[Br-],1346,1346,C[N+](C)(C)CCc1ccccc1.[Br-]
519.0,C[N+](C)(C)O.[Br-],1347,1347,C[N+](C)(C)O.[Br-]
500.0,CCCC(C)[N+](C)(C)C.[Br-],1348,1348,CCCC(C)[N+](C)(C)C.[Br-]
554.0,C[N+](C)(C)C1CCCC1.[Br-],1349,1349,C[N+](C)(C)C1CCCC1.[Br-]
521.0,C=CC[N+](C)(C)C(C)(C)C.[Br-],1350,1350,C=CC[N+](C)(C)C(C)(C)C.[Br-]
523.0,C[N+](C)(C)C1CCOC1.[Br-],1351,1351,C[N+](C)(C)C1CCOC1.[Br-]
551.0,C[N+](C)(C)C1CCCCCC1.[Br-],1352,1352,C[N+](C)(C)C1CCCCCC1.[Br-]
527.0,Cc1cc(C)c(C[N+](C)(C)C)cc1C.[Br-],1353,1353,Cc1cc(C)c(C[N+](C)(C)C)cc1C.[Br-]
343.0,CCCCCCCCCCCC[N+](CC)(CCO)CCO.[Br-],1354,1354,CCCCCCCCCCCC[N+](CC)(CCO)CCO.[Br-]
506.0,Cc1ccc(C[N+](C)(C)C)c2ccccc12.[Br-],1355,1355,Cc1ccc(C[N+](C)(C)C)c2ccccc12.[Br-]
324.0,CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-],1356,1356,CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-]
334.0,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-],1357,1357,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-]
420.0,CCCCC(C(=O)OC)[N+](C)(C)Cc1ccccc1.[Br-],1358,1358,CCCCC(C(=O)OC)[N+](C)(C)Cc1ccccc1.[Br-]
402.0,C[N+](C)(CCCCOc1ccccc1)Cc1ccccc1.[Br-],1359,1359,C[N+](C)(CCCCOc1ccccc1)Cc1ccccc1.[Br-]
363.0,CCCC(C(=O)OCC[N+](C)(CC)CC)c1ccccc1.[Br-],1360,1360,CCCC(C(=O)OCC[N+](C)(CC)CC)c1ccccc1.[Br-]
391.0,CCCCC(C(=O)OCC)[N+](C)(C)Cc1ccccc1.[Br-],1361,1361,CCCCC(C(=O)OCC)[N+](C)(C)Cc1ccccc1.[Br-]
400.0,C[N+](C)(Cc1cccc(Oc2ccccc2)c1)c1ccccc1.[Br-],1362,1362,C[N+](C)(Cc1cccc(Oc2ccccc2)c1)c1ccccc1.[Br-]
375.0,CCCCCC[N+](CCCCCC)(CCCCCC)Cc1ccccc1.[Br-],1363,1363,CCCCCC[N+](CCCCCC)(CCCCCC)Cc1ccccc1.[Br-]
413.0,C[N+](C)(CCCCCOc1ccccc1)Cc1ccccc1.[Br-],1364,1364,C[N+](C)(CCCCCOc1ccccc1)Cc1ccccc1.[Br-]
499.0,Cc1ccc(C(C)C)cc1C[N+](C)(C)Cc1cc(C(C)C)ccc1C.[Br-],1365,1365,Cc1ccc(C(C)C)cc1C[N+](C)(C)Cc1cc(C(C)C)ccc1C.[Br-]
351.0,CCCCC(C(=O)OCC[N+](C)(CC)CC)c1ccccc1.[Br-],1366,1366,CCCCC(C(=O)OCC[N+](C)(CC)CC)c1ccccc1.[Br-]
480.0,Cc1ccc(C(C)C)cc1C[N+](C)(Cc1ccccc1)Cc1ccccc1.[Br-],1367,1367,Cc1ccc(C(C)C)cc1C[N+](C)(Cc1ccccc1)Cc1ccccc1.[Br-]
413.0,C[N+](C)(CCCCOc1cccc2ccccc12)Cc1ccccc1.[Br-],1368,1368,C[N+](C)(CCCCOc1cccc2ccccc12)Cc1ccccc1.[Br-]
435.0,C[N+](C)(CCCCOc1ccc2ccccc2c1)Cc1ccccc1.[Br-],1369,1369,C[N+](C)(CCCCOc1ccc2ccccc2c1)Cc1ccccc1.[Br-]
456.0,CCCCCCC[N+](C)(C)C.[Br-],1370,1370,CCCCCCC[N+](C)(C)C.[Br-]
337.0,C=CC[N+](C)(C)C=C(C)C.[Br-],1371,1371,C=CC[N+](C)(C)C=C(C)C.[Br-]
357.0,CC[N+](C)(C)C1CCCCO1.[Br-],1372,1372,CC[N+](C)(C)C1CCCCO1.[Br-]
390.0,CC#CC[N+](CC)(CC)CC.[Br-],1373,1373,CC#CC[N+](CC)(CC)CC.[Br-]
512.0,Cc1cc(C)cc(C[N+](C)(C)C)c1.[Br-],1374,1374,Cc1cc(C)cc(C[N+](C)(C)C)c1.[Br-]
445.0,C#CC[N+](C)(C)CC#Cc1ccccc1.[Br-],1375,1375,C#CC[N+](C)(C)CC#Cc1ccccc1.[Br-]
438.0,CC(C)=C[N+](C)(C)Cc1ccccc1.[Br-],1376,1376,CC(C)=C[N+](C)(C)Cc1ccccc1.[Br-]
490.0,COc1ccc(CC[N+](C)(C)C)cc1.[Br-],1377,1377,COc1ccc(CC[N+](C)(C)C)cc1.[Br-]
331.0,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCC.[Br-],1378,1378,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCC.[Br-]
443.0,C[N+](C)(CCc1ccccc1)c1ccccc1.[Br-],1379,1379,C[N+](C)(CCc1ccccc1)c1ccccc1.[Br-]
393.0,CC(c1ccccc1)[N+](C)(C)c1ccccc1.[Br-],1380,1380,CC(c1ccccc1)[N+](C)(C)c1ccccc1.[Br-]
421.0,Cc1cccc(C[N+](C)(C)CCO)c1C.[Br-],1381,1381,Cc1cccc(C[N+](C)(C)CCO)c1C.[Br-]
402.0,Cc1ccccc1C[N+](C)(C)CCCO.[Br-],1382,1382,Cc1ccccc1C[N+](C)(C)CCCO.[Br-]
399.0,CC(=O)OCC[N+](C)(C)Cc1ccccc1.[Br-],1383,1383,CC(=O)OCC[N+](C)(C)Cc1ccccc1.[Br-]
443.0,Cc1cccc(C[N+](C)(C)CCCO)c1C.[Br-],1384,1384,Cc1cccc(C[N+](C)(C)CCCO)c1C.[Br-]
336.0,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],1385,1385,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-]
391.0,CCOC(=O)C(C)[N+](C)(C)Cc1ccccc1.[Br-],1386,1386,CCOC(=O)C(C)[N+](C)(C)Cc1ccccc1.[Br-]
435.0,CC[N+](CC)(CC)Cc1cccc(Oc2ccccc2)c1.[Br-],1387,1387,CC[N+](CC)(CC)Cc1cccc(Oc2ccccc2)c1.[Br-]
427.0,CCCCCCCCCCCC[N+](C)(C)Cc1cc(C(C)C)ccc1C.[Br-],1388,1388,CCCCCCCCCCCC[N+](C)(C)Cc1cc(C(C)C)ccc1C.[Br-]
387.0,CCCCCCCCCCCC[N+](C)(C)CCc1cc(C(C)C)ccc1C.[Br-],1389,1389,CCCCCCCCCCCC[N+](C)(C)CCc1cc(C(C)C)ccc1C.[Br-]
416.0,CCC(CC(C)C)(C(=O)OCC[N+](C)(CC)CC)c1ccccc1.[Br-],1390,1390,CCC(CC(C)C)(C(=O)OCC[N+](C)(CC)CC)c1ccccc1.[Br-]
371.0,CCCCCCCCCCCC[N+](CC)(CC)CCC.[Br-],1391,1391,CCCCCCCCCCCC[N+](CC)(CC)CCC.[Br-]
449.0,CCCCCCCCCCCC[N+](C)(CC)COCC.[Br-],1392,1392,CCCCCCCCCCCC[N+](C)(CC)COCC.[Br-]
424.0,C[N+](C)(CCC(=O)O)CC(=O)O.[Br-],1393,1393,C[N+](C)(CCC(=O)O)CC(=O)O.[Br-]
376.0,CCCCCCCCCCCC[N+](C)(CC)CC(=O)O.[Br-],1394,1394,CCCCCCCCCCCC[N+](C)(CC)CC(=O)O.[Br-]
377.0,CCCCCCCCCCCC[N+](C)(CC)Cc1ccccc1.[Br-],1395,1395,CCCCCCCCCCCC[N+](C)(CC)Cc1ccccc1.[Br-]
351.0,CCCCCCCCCCCC[N+](C)(CCCC)Cc1ccccc1.[Br-],1396,1396,CCCCCCCCCCCC[N+](C)(CCCC)Cc1ccccc1.[Br-]
439.0,C[N+](C)(C)Cc1ccc(O)cc1.[Br-],1397,1397,C[N+](C)(C)Cc1ccc(O)cc1.[Br-]
402.0,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccc(O)cc1.[Br-],1398,1398,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccc(O)cc1.[Br-]
396.0,CC(=O)C[N+](C)(C)Cc1ccccc1C.[Br-],1399,1399,CC(=O)C[N+](C)(C)Cc1ccccc1C.[Br-]
390.0,COC(=O)C[N+](C)(C)Cc1ccc(C)cc1.[Br-],1400,1400,COC(=O)C[N+](C)(C)Cc1ccc(C)cc1.[Br-]
405.0,COC(=O)C[N+](C)(C)Cc1ccccc1C.[Br-],1401,1401,COC(=O)C[N+](C)(C)Cc1ccccc1C.[Br-]
407.0,CC(C)CC(=O)C[N+](C)(C)C.[Br-],1402,1402,CC(C)CC(=O)C[N+](C)(C)C.[Br-]
424.0,CCOC(C[N+](C)(C)C)OCC.[Br-],1403,1403,CCOC(C[N+](C)(C)C)OCC.[Br-]
394.0,C[N+](C)(C)CC(O)CO.[Br-],1404,1404,C[N+](C)(C)CC(O)CO.[Br-]
430.0,CC[N+](CC)(CC)CC#Cc1ccccc1.[Br-],1405,1405,CC[N+](CC)(CC)CC#Cc1ccccc1.[Br-]
424.0,C=CC[N+](C)(C)c1cc(C)ccc1O.[Br-],1406,1406,C=CC[N+](C)(C)c1cc(C)ccc1O.[Br-]
467.0,COc1cc(C[N+](C)(C)C)cc(OC)c1.[Br-],1407,1407,COc1cc(C[N+](C)(C)C)cc(OC)c1.[Br-]
379.0,C=CC[N+](C)(C)c1cc(C)cc(C)c1O.[Br-],1408,1408,C=CC[N+](C)(C)c1cc(C)cc(C)c1O.[Br-]
426.0,C=C(C)C[N+](C)(C)c1cc(C)ccc1O.[Br-],1409,1409,C=C(C)C[N+](C)(C)c1cc(C)ccc1O.[Br-]
402.0,COc1ccc([N+](C)(C)Cc2ccccc2)cc1.[Br-],1410,1410,COc1ccc([N+](C)(C)Cc2ccccc2)cc1.[Br-]
424.0,C#CC[N+](C)(C)C(C(=O)c1ccccc1)c1ccccc1.[Br-],1411,1411,C#CC[N+](C)(C)C(C(=O)c1ccccc1)c1ccccc1.[Br-]
425.0,Cc1ccc(O)c([N+](C)(C)CC=Cc2ccccc2)c1.[Br-],1412,1412,Cc1ccc(O)c([N+](C)(C)CC=Cc2ccccc2)c1.[Br-]
435.0,COC(=O)C[N+](C)(C)Cc1cccc2ccccc12.[Br-],1413,1413,COC(=O)C[N+](C)(C)Cc1cccc2ccccc12.[Br-]
399.0,CCCCCCCCCCCC[N+](C)(C)Cc1ccc(C(=O)c2ccccc2)cc1.[Br-],1414,1414,CCCCCCCCCCCC[N+](C)(C)Cc1ccc(C(=O)c2ccccc2)cc1.[Br-]
482.0,C[N+](C)(C)c1ccc(C=O)cc1.[Br-],1415,1415,C[N+](C)(C)c1ccc(C=O)cc1.[Br-]
432.0,C=CC=C(C)C[N+](C)(C)CC=Cc1ccccc1.[Br-],1416,1416,C=CC=C(C)C[N+](C)(C)CC=Cc1ccccc1.[Br-]
419.0,C[N+](C)(CC#Cc1ccccc1)CC=Cc1ccccc1.[Br-],1417,1417,C[N+](C)(CC#Cc1ccccc1)CC=Cc1ccccc1.[Br-]
400.0,CC(c1ccccc1)[N+](C)(C)CC(=O)c1ccccc1.[Br-],1418,1418,CC(c1ccccc1)[N+](C)(C)CC(=O)c1ccccc1.[Br-]
391.0,C[N+](C)(C)CCCCCCCCCCOc1ccc(C=O)cc1.[Br-],1419,1419,C[N+](C)(C)CCCCCCCCCCOc1ccc(C=O)cc1.[Br-]
415.0,C#CC[N+](C)(C)CC#Cc1cccc2ccccc12.[Br-],1420,1420,C#CC[N+](C)(C)CC#Cc1cccc2ccccc12.[Br-]
399.0,C#CC[N+](CC)(CC)CC#Cc1cccc2ccccc12.[Br-],1421,1421,C#CC[N+](CC)(CC)CC#Cc1cccc2ccccc12.[Br-]
439.0,CC[N+](CC)(CC)CCCO.[Br-],1422,1422,CC[N+](CC)(CC)CCCO.[Br-]
380.0,CCCCCCCCCC[N+](CC)(CC)CC.[Br-],1423,1423,CCCCCCCCCC[N+](CC)(CC)CC.[Br-]
480.0,C[N+](C)(C)c1cccc(O)c1.[Br-],1424,1424,C[N+](C)(C)c1cccc(O)c1.[Br-]
452.0,CC(C[N+](C)(C)C)c1ccccc1.[Br-],1425,1425,CC(C[N+](C)(C)C)c1ccccc1.[Br-]
390.0,CCCCCCCCCCCCCCCC[N+](C)(C)C(C)O.[Br-],1426,1426,CCCCCCCCCCCCCCCC[N+](C)(C)C(C)O.[Br-]
444.0,CC(C)C(C[N+](C)(C)C)c1ccccc1.[Br-],1427,1427,CC(C)C(C[N+](C)(C)C)c1ccccc1.[Br-]
387.0,C=C(C)C[N+](C)(C)c1cccc(O)c1.[Br-],1428,1428,C=C(C)C[N+](C)(C)c1cccc(O)c1.[Br-]
480.0,C[N+](C)(C)CCC(=O)c1ccc(O)cc1.[Br-],1429,1429,C[N+](C)(C)CCC(=O)c1ccc(O)cc1.[Br-]
417.0,COc1cccc(C(=O)CC[N+](C)(C)C)c1.[Br-],1430,1430,COc1cccc(C(=O)CC[N+](C)(C)C)c1.[Br-]
519.0,Cc1ccc(C(C[N+](C)(C)C)c2ccc(C)cc2)cc1.[Br-],1431,1431,Cc1ccc(C(C[N+](C)(C)C)c2ccc(C)cc2)cc1.[Br-]
375.0,Cc1ccc([N+](C)(C)C(C)c2ccccc2)cc1.[Br-],1432,1432,Cc1ccc([N+](C)(C)C(C)c2ccccc2)cc1.[Br-]
381.0,COc1ccc([N+](C)(C)C(C)c2ccccc2)cc1.[Br-],1433,1433,COc1ccc([N+](C)(C)C(C)c2ccccc2)cc1.[Br-]
415.0,C=C(C)C[N+](C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1.[Br-],1434,1434,C=C(C)C[N+](C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1.[Br-]
409.0,CC(C)=CC[N+](C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1.[Br-],1435,1435,CC(C)=CC[N+](C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1.[Br-]
502.0,COc1ccc(C(C[N+](C)(C)C)c2ccc(OC)cc2)cc1.[Br-],1436,1436,COc1ccc(C(C[N+](C)(C)C)c2ccc(OC)cc2)cc1.[Br-]
423.0,C=C(C)C#CC[N+](C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1.[Br-],1437,1437,C=C(C)C#CC[N+](C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1.[Br-]
446.0,CC(C)(C)c1cc([N+](C)(C)Cc2ccccc2)cc(C(C)(C)C)c1O.[Br-],1438,1438,CC(C)(C)c1cc([N+](C)(C)Cc2ccccc2)cc(C(C)(C)C)c1O.[Br-]
324.0,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1O.[Br-],1439,1439,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1O.[Br-]
433.0,CC(C)(C)c1cc([N+](C)(C)CC=Cc2ccccc2)cc(C(C)(C)C)c1O.[Br-],1440,1440,CC(C)(C)c1cc([N+](C)(C)CC=Cc2ccccc2)cc(C(C)(C)C)c1O.[Br-]
351.0,C=CC[N+](C)(CCOC(=O)CCCCCCCCCCC)CCOC(=O)CCCCCCCCCCC.[Br-],1441,1441,C=CC[N+](C)(CCOC(=O)CCCCCCCCCCC)CCOC(=O)CCCCCCCCCCC.[Br-]
362.0,C=CC[N+](C)(CCOC(=O)CCCCCCCCCCCCCCC)CCOC(=O)CCCCCCCCCCCCCCC.[Br-],1442,1442,C=CC[N+](C)(CCOC(=O)CCCCCCCCCCCCCCC)CCOC(=O)CCCCCCCCCCCCCCC.[Br-]
426.0,CC[N+](C)(CC)C(C)c1ccccc1.[Br-],1443,1443,CC[N+](C)(CC)C(C)c1ccccc1.[Br-]
422.0,CC[N+](CC)(CC)C(C)c1ccccc1.[Br-],1444,1444,CC[N+](CC)(CC)C(C)c1ccccc1.[Br-]
435.0,CCC[N+](CCC)(CCC)C(C)c1ccccc1.[Br-],1445,1445,CCC[N+](CCC)(CCC)C(C)c1ccccc1.[Br-]
428.0,CC(c1ccccc1)[N+](C)(C)Cc1ccccc1.[Br-],1446,1446,CC(c1ccccc1)[N+](C)(C)Cc1ccccc1.[Br-]
415.0,CC[N+](CC)(Cc1ccccc1)C(C)c1ccccc1.[Br-],1447,1447,CC[N+](CC)(Cc1ccccc1)C(C)c1ccccc1.[Br-]
398.0,C=CCC=CC[N+](C)(C)Cc1ccccc1.[Br-],1448,1448,C=CCC=CC[N+](C)(C)Cc1ccccc1.[Br-]
